TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionDate,TransactionType,Location,Channel,CustomerOccupation,PreviousTransactionDate,CustomerAgeBin,Target
104.79,70.0,223.0,1.0,1352.19,2023-08-07 16:06:32,Debit,Denver,ATM,Doctor,2024-11-04 08:10:07,Senior,1
246.27000000000004,29.0,141.0,1.0,7299.86,2023-12-27 16:48:30,Debit,Fresno,Online,Doctor,2024-11-04 08:10:57,Young,3
48.85,19.0,176.0,1.0,1503.56,2023-12-08 16:45:12,Debit,Dallas,ATM,Student,2024-11-04 08:07:15,Young,3
332.0,69.0,17.0,1.0,5943.13,2023-04-27 16:27:41,Debit,Charlotte,ATM,Retired,2024-11-04 08:07:03,Senior,2
118.1,54.0,167.0,1.0,895.6599999999999,2023-10-31 16:49:13,Debit,Memphis,Online,Engineer,2024-11-04 08:09:14,Senior,3
84.59,67.0,10.0,1.0,5669.1,2023-04-19 16:54:46,Credit,Las Vegas,Branch,Doctor,2024-11-04 08:07:12,Senior,2
295.64,21.0,82.0,1.0,1061.96,2023-12-14 17:31:18,Debit,Jacksonville,Online,Student,2024-11-04 08:10:41,Young,3
514.33,25.0,160.0,1.0,1592.94,2023-06-02 16:27:08,Debit,Philadelphia,Branch,Student,2024-11-04 08:12:17,Young,1
94.59,39.0,34.0,1.0,6171.89,2023-12-01 17:04:00,Debit,Washington,Online,Doctor,2024-11-04 08:10:37,Adult,3
80.43,59.0,157.0,1.0,5987.67,2023-01-04 16:09:43,Debit,Columbus,Branch,Retired,2024-11-04 08:08:18,Senior,2
54.25,68.0,37.0,1.0,14783.33,2023-07-31 16:51:50,Debit,Virginia Beach,Online,Doctor,2024-11-04 08:08:53,Senior,1
518.85,22.0,82.0,1.0,1806.0,2023-10-23 18:37:47,Debit,Kansas City,Online,Student,2024-11-04 08:06:37,Young,3
10.65,54.0,161.0,1.0,13240.72,2023-04-24 16:24:49,Debit,Louisville,Online,Doctor,2024-11-04 08:10:21,Senior,2
198.62,27.0,84.00000000000001,1.0,1196.07,,Credit,Tucson,Branch,Student,2024-11-04 08:06:38,Young,3
107.03,27.0,73.0,1.0,1408.07,2023-03-06 18:27:13,Debit,Miami,Branch,Student,2024-11-04 08:12:13,Young,2
346.11,41.0,213.0,1.0,9551.64,2023-01-04 17:00:17,Debit,Dallas,Branch,Engineer,2024-11-04 08:08:03,Adult,2
138.06,44.0,159.0,1.0,1070.47,2023-07-25 17:21:53,Debit,Charlotte,Branch,Engineer,2024-11-04 08:06:52,Adult,1
158.02,49.0,120.0,1.0,9374.24,2023-09-20 17:09:14,Debit,New York,ATM,Engineer,2024-11-04 08:09:57,Adult,3
830.01,66.0,96.0,1.0,4253.18,2023-07-21 16:43:59,Credit,Chicago,Online,Retired,2024-11-04 08:11:27,Senior,1
435.5,55.0,112.0,1.0,6981.03,2023-05-15 18:41:05,Debit,Oklahoma City,ATM,,2024-11-04 08:09:40,Senior,1
110.49,57.0,48.0,1.0,10483.93,2023-10-31 17:06:47,Debit,Raleigh,Online,Doctor,2024-11-04 08:12:20,Senior,3
329.4,34.0,68.00000000000001,1.0,9588.07,2023-12-25 16:30:09,Debit,Denver,Online,Doctor,2024-11-04 08:07:55,Adult,3
635.4,47.0,106.0,1.0,1238.11,2023-09-19 16:55:00,Debit,Denver,ATM,Doctor,2024-11-04 08:11:45,Adult,3
769.97,22.0,22.999999999999996,1.0,1244.93,2023-02-16 18:56:44,Debit,San Diego,Branch,Student,2024-11-04 08:09:51,Young,2
175.07,26.0,169.0,1.0,1040.25,2023-09-04 17:46:20,Debit,Colorado Springs,Branch,Student,2024-11-04 08:08:15,Young,1
7.31,78.0,282.0,1.0,5757.67,2023-06-26 16:04:11,Debit,Las Vegas,Branch,Retired,2024-11-04 08:07:15,Senior,1
56.12,30.0,102.0,1.0,8839.67,2023-09-13 18:49:55,Debit,El Paso,ATM,Doctor,2024-11-04 08:09:30,Adult,3
424.7,56.0,178.0,1.0,6239.89,2023-01-30 17:37:14,Credit,Miami,Online,Retired,2024-11-04 08:08:25,Senior,2
35.73,65.0,87.0,1.0,9073.17,2023-06-12 16:48:03,Debit,Miami,Branch,Doctor,2024-11-04 08:11:09,Senior,1
3.44,78.0,107.99999999999999,1.0,7561.33,2023-01-19 17:24:30,Debit,Fort Worth,ATM,Retired,2024-11-04 08:12:20,Senior,2
139.03,50.0,81.0,1.0,2276.57,2023-08-30 18:00:09,Credit,Los Angeles,Online,Engineer,2024-11-04 08:11:29,Senior,1
254.92,28.0,169.0,1.0,2791.12,2023-09-18 16:04:06,Credit,San Antonio,ATM,Engineer,2024-11-04 08:07:18,Young,3
115.11,28.0,139.0,1.0,9808.97,2023-05-05 17:34:22,Debit,Albuquerque,Online,Engineer,2024-11-04 08:10:18,Young,2
171.11,57.0,171.0,1.0,6324.09,2023-05-15 16:52:24,Debit,San Francisco,ATM,Retired,2024-11-04 08:08:40,Senior,1
408.46,64.0,28.0,1.0,3140.79,2023-03-01 16:17:46,Debit,Raleigh,Branch,Retired,2024-11-04 08:08:20,Senior,2
342.17,21.0,247.0,1.0,461.83,2023-12-14 16:09:42,Credit,New York,Branch,Student,2024-11-04 08:08:32,Young,3
580.71,53.0,95.0,1.0,5670.0,2023-09-20 16:37:48,Debit,Philadelphia,ATM,Engineer,2024-11-04 08:10:54,Senior,3
821.54,79.0,36.0,1.0,4040.3199999999997,2023-08-22 18:11:16,Credit,Atlanta,Branch,Retired,2024-11-04 08:11:57,Senior,1
253.47,20.0,238.0,1.0,220.51,2023-06-14 17:07:08,Debit,Atlanta,Branch,Student,2024-11-04 08:08:12,Young,1
22.81,62.0,75.0,1.0,3634.76,2023-05-29 17:53:03,Debit,New York,Online,Retired,2024-11-04 08:07:59,Senior,1
266.57,39.0,96.0,1.0,7180.48,2023-07-03 17:56:59,Credit,Boston,Online,Engineer,2024-11-04 08:07:10,Adult,1
374.61,75.0,37.0,1.0,1389.71,2023-08-29 18:30:36,Credit,Mesa,Online,Retired,2024-11-04 08:11:24,Senior,1
339.35,78.0,70.0,1.0,5002.7,2023-02-03 16:08:47,Credit,Boston,ATM,Retired,2024-11-04 08:08:17,Senior,2
810.36,20.0,67.0,1.0,9239.12,2023-01-17 16:59:03,Debit,Columbus,ATM,Student,2024-11-04 08:07:19,Young,2
9.83,24.0,86.0,1.0,666.42,2023-07-24 17:04:17,Debit,Memphis,ATM,Student,2024-11-04 08:09:03,Young,1
135.57,51.0,116.00000000000001,1.0,11351.64,2023-06-14 17:17:34,Credit,Boston,Branch,Doctor,2024-11-04 08:11:44,Senior,1
340.05,43.0,37.0,1.0,7234.15,2023-10-27 17:26:53,Debit,Detroit,ATM,Engineer,2024-11-04 08:07:43,Adult,3
283.45,27.0,127.0,1.0,2049.51,2023-10-17 17:24:47,Debit,Colorado Springs,Branch,Engineer,2024-11-04 08:08:51,Young,3
100.99,68.0,114.0,1.0,8865.27,2023-05-29 16:20:29,Debit,New York,ATM,Doctor,2024-11-04 08:09:12,Senior,1
90.88,18.0,176.0,1.0,3908.4700000000003,2023-02-20 16:48:49,Debit,Albuquerque,Branch,Student,2024-11-04 08:07:13,Young,2
655.15,26.0,264.0,1.0,5587.44,2023-01-02 16:22:54,Debit,Seattle,ATM,Engineer,2024-11-04 08:07:15,Young,2
320.55,50.0,118.0,1.0,438.75,2023-05-01 17:11:47,Debit,Milwaukee,Online,Engineer,2024-11-04 08:08:14,Senior,2
41.51,28.0,48.0,1.0,609.5999999999999,2023-10-04 16:47:33,Debit,Phoenix,Online,Student,2024-11-04 08:11:54,Young,3
71.53,68.0,39.0,1.0,2393.73,2023-10-30 16:49:25,Credit,Jacksonville,Branch,Retired,2024-11-04 08:12:00,Senior,3
467.13,54.0,45.0,1.0,3914.84,2023-09-28 17:18:26,Credit,Kansas City,Branch,Retired,2024-11-04 08:06:58,Senior,3
235.4,28.0,70.0,1.0,818.3599999999999,2023-09-26 17:02:25,Debit,Detroit,Branch,Student,2024-11-04 08:10:13,Young,3
159.32,18.0,100.00000000000001,1.0,304.44,2023-01-16 18:57:13,Debit,Seattle,Branch,Student,2024-11-04 08:10:32,Young,2
50.83,30.0,48.0,1.0,9553.42,2023-12-18 16:06:14,Credit,Philadelphia,Online,Doctor,2024-11-04 08:10:06,Adult,3
56.89,59.0,56.0,1.0,3034.67,2023-02-03 18:03:56,Credit,Houston,Branch,Engineer,2024-11-04 08:09:52,Senior,2
20.22,43.0,138.0,1.0,5515.32,2023-03-10 18:26:19,Debit,Jacksonville,ATM,Engineer,2024-11-04 08:06:32,Adult,2
50.4,36.0,84.00000000000001,1.0,1677.01,2023-03-27 17:02:44,Debit,San Antonio,Branch,Doctor,2024-11-04 08:07:17,Adult,2
73.88,53.0,131.0,1.0,4055.55,2023-05-08 17:42:36,Debit,Los Angeles,Branch,Retired,2024-11-04 08:08:11,Senior,2
119.61,33.0,53.00000000000001,1.0,9899.94,2023-03-14 16:21:01,Debit,San Diego,ATM,Doctor,2024-11-04 08:07:28,Adult,2
116.58,43.0,247.0,1.0,2620.74,2023-08-31 16:38:18,Debit,Raleigh,Branch,Engineer,2024-11-04 08:06:50,Adult,1
391.96,64.0,79.0,1.0,2174.16,2023-06-19 16:21:58,Debit,,ATM,Retired,2024-11-04 08:06:47,Senior,1
156.26,46.0,160.0,1.0,7854.100000000001,2023-01-02 17:49:44,Credit,Virginia Beach,Branch,Engineer,2024-11-04 08:09:29,Adult,2
427.0,49.0,163.0,1.0,8253.65,2023-07-31 17:04:29,Credit,Oklahoma City,Branch,Engineer,2024-11-04 08:07:30,Adult,1
443.68,18.0,137.0,1.0,874.1499999999999,2023-04-25 18:58:32,Debit,Tucson,,Student,2024-11-04 08:10:26,Young,2
101.76,31.0,26.0,1.0,6043.25,2023-02-20 17:27:24,,Philadelphia,,Doctor,2024-11-04 08:11:08,Adult,2
67.57,37.0,107.0,1.0,2766.12,2023-08-17 16:44:38,Debit,Charlotte,Branch,Engineer,2024-11-04 08:11:15,Adult,1
326.29,56.0,179.0,1.0,8171.259999999999,2023-12-06 17:10:35,Debit,Denver,Online,Engineer,2024-11-04 08:10:44,Senior,3
158.56,33.0,100.00000000000001,1.0,5401.21,2023-02-28 17:28:13,Debit,Sacramento,ATM,Doctor,2024-11-04 08:10:48,Adult,2
56.02,27.0,142.0,1.0,3548.02,2023-06-19 17:50:29,Debit,Memphis,Online,Student,2024-11-04 08:07:58,Young,1
288.28,27.0,36.0,1.0,160.83,2023-01-17 17:11:24,,Portland,Online,Student,2024-11-04 08:06:33,Young,2
245.67,24.0,107.0,1.0,752.2499999999999,2023-01-02 18:35:07,Credit,Portland,Branch,Student,2024-11-04 08:07:45,Young,2
114.35,41.0,21.000000000000004,1.0,469.12,2023-11-27 16:16:19,Credit,El Paso,Branch,Engineer,2024-11-04 08:10:13,Adult,3
373.27,61.0,79.0,1.0,8441.61,2023-07-18 18:03:03,Credit,Miami,Online,Doctor,,Senior,1
504.63000000000005,60.0,168.00000000000003,1.0,3806.16,2023-11-13 17:07:10,Debit,Portland,Online,Engineer,2024-11-04 08:07:50,Senior,3
820.15,47.0,181.0,1.0,8802.97,2023-12-18 16:33:01,Debit,Kansas City,Branch,Doctor,2024-11-04 08:10:34,Adult,3
8.37,63.0,135.0,1.0,1106.34,2023-01-12 16:21:27,Debit,Colorado Springs,ATM,Retired,2024-11-04 08:11:23,Senior,2
197.49,53.0,30.0,1.0,5005.33,2023-07-03 16:36:45,Credit,Fresno,Online,Retired,2024-11-04 08:06:40,Senior,1
637.97,58.0,90.0,1.0,7949.03,2023-10-23 17:17:18,Debit,New York,Branch,Retired,2024-11-04 08:07:56,Senior,3
13.52,26.0,65.0,1.0,259.77,2023-05-15 16:51:28,Debit,Seattle,ATM,Student,2024-11-04 08:06:30,Young,1
432.1,49.0,240.0,1.0,2114.3,2023-03-20 16:28:17,Debit,San Francisco,ATM,Engineer,2024-11-04 08:10:16,Adult,2
642.68,50.0,94.0,1.0,8461.46,2023-02-17 16:57:11,Debit,Fresno,Branch,Doctor,2024-11-04 08:08:38,Senior,2
78.44,52.0,292.0,1.0,6870.84,2023-11-21 17:25:30,Credit,San Jose,Online,Retired,2024-11-04 08:10:39,Senior,3
139.72,49.0,201.0,1.0,5058.83,2023-01-16 17:53:00,Debit,Memphis,Branch,Engineer,2024-11-04 08:08:24,Adult,2
499.99,31.0,296.0,1.0,8885.0,2023-08-02 16:01:17,Debit,San Jose,Branch,Engineer,2024-11-04 08:09:05,Adult,1
10.07,24.0,49.0,1.0,530.81,2023-01-17 16:47:41,Debit,Albuquerque,Online,Student,2024-11-04 08:08:57,Young,2
120.61999999999999,23.0,85.0,1.0,9379.53,2023-02-27 16:37:11,Debit,Raleigh,ATM,Student,2024-11-04 08:06:39,Young,2
578.49,59.0,180.0,1.0,6475.13,2023-10-16 17:46:51,Debit,Nashville,Branch,Retired,2024-11-04 08:06:50,Senior,3
280.92,41.0,168.00000000000003,1.0,5298.85,2024-01-01 18:21:50,Debit,Phoenix,Online,Doctor,2024-11-04 08:06:41,Adult,3
42.42,21.0,102.0,1.0,490.57,2023-06-01 17:19:57,Debit,Sacramento,Online,Student,2024-11-04 08:09:11,Young,1
77.03,67.0,259.0,1.0,11310.27,2023-06-19 16:57:53,Debit,Fresno,ATM,Doctor,2024-11-04 08:08:06,Senior,1
22.59,62.0,45.0,1.0,3988.75,2023-03-27 16:12:36,Debit,Seattle,ATM,Retired,2024-11-04 08:08:22,Senior,2
568.76,51.0,155.0,1.0,7484.319999999999,2023-10-09 16:48:50,Debit,Baltimore,ATM,Retired,2024-11-04 08:12:09,Senior,3
105.94,51.0,207.0,1.0,5963.1,2023-08-07 16:02:55,Debit,Oklahoma City,Branch,Engineer,2024-11-04 08:09:59,Senior,1
350.15,21.0,195.0,1.0,296.47,2023-11-27 16:18:25,Credit,Fresno,ATM,Student,2024-11-04 08:08:37,Young,3
183.67,19.0,238.0,1.0,910.26,2023-06-26 16:11:29,Debit,San Diego,Online,Student,2024-11-04 08:11:05,Young,1
278.27,29.0,123.0,1.0,6684.34,2023-04-10 16:47:55,Debit,Tucson,Branch,Doctor,2024-11-04 08:09:58,Young,2
470.3,40.0,88.0,1.0,8524.09,2023-09-12 18:46:45,Debit,Austin,ATM,Doctor,2024-11-04 08:08:00,Adult,3
261.69,53.0,84.00000000000001,1.0,5126.65,2023-11-27 17:29:25,Debit,Philadelphia,ATM,Retired,2024-11-04 08:09:09,Senior,3
365.04,22.0,94.0,1.0,873.8899999999999,2023-03-06 16:29:57,Debit,Virginia Beach,Branch,Student,2024-11-04 08:12:08,Young,2
211.1,57.0,136.0,1.0,7059.77,2023-09-14 16:58:48,Debit,Miami,Branch,Retired,2024-11-04 08:07:01,Senior,3
21.49,58.0,240.0,1.0,11991.24,2023-05-04 16:51:17,Debit,Denver,ATM,Doctor,2024-11-04 08:08:08,Senior,2
63.58,18.0,199.0,1.0,8086.040000000001,2023-09-11 17:43:14,Debit,Columbus,ATM,Student,2024-11-04 08:11:56,Young,3
321.86,63.0,167.0,1.0,12626.49,2023-07-24 16:25:51,Debit,San Antonio,ATM,Doctor,2024-11-04 08:06:35,Senior,1
12.11,75.0,127.0,1.0,1730.28,2023-12-12 16:17:27,Debit,Jacksonville,,Retired,2024-11-04 08:07:10,Senior,3
642.54,44.0,28.0,1.0,3143.17,2023-05-10 18:49:20,Debit,Milwaukee,Branch,Engineer,2024-11-04 08:10:37,Adult,1
210.45,27.0,146.0,1.0,1242.49,2023-12-11 16:47:05,Debit,Las Vegas,ATM,Student,2024-11-04 08:06:24,Young,3
313.65,55.0,173.0,1.0,1886.36,2023-01-30 16:08:07,Credit,Chicago,Branch,Retired,2024-11-04 08:10:49,Senior,2
99.76,26.0,131.0,1.0,416.89,2023-08-07 16:21:37,Debit,Sacramento,Branch,Student,2024-11-04 08:06:26,Young,1
115.32,53.0,113.0,1.0,5929.08,2023-07-25 17:24:07,Debit,Denver,Branch,Retired,2024-11-04 08:08:36,Senior,1
33.61,23.0,72.0,1.0,479.08,2023-08-21 17:25:00,Debit,Milwaukee,Online,Student,2024-11-04 08:08:40,Young,1
498.59,33.0,32.0,1.0,5862.99,2023-01-30 16:20:26,Credit,Oklahoma City,Online,Doctor,2024-11-04 08:06:58,Adult,2
98.81,27.0,91.0,1.0,797.1,2023-09-04 16:48:13,Debit,San Francisco,Branch,Student,2024-11-04 08:08:11,Young,1
1.8700000000000003,65.0,147.0,1.0,7287.94,2023-10-20 18:34:41,Debit,Washington,ATM,Retired,2024-11-04 08:09:48,Senior,3
78.92,59.0,95.0,1.0,5624.86,2023-06-15 18:57:42,Credit,Jacksonville,Online,Engineer,2024-11-04 08:08:28,Senior,1
194.29,39.0,10.0,1.0,2988.41,2023-01-23 16:05:42,Credit,Seattle,Branch,Engineer,2024-11-04 08:08:57,Adult,2
28.73,53.0,185.0,1.0,2712.96,,Debit,Kansas City,ATM,Engineer,2024-11-04 08:08:37,Senior,3
105.53,24.0,88.0,1.0,1433.66,2023-06-16 16:36:20,Debit,Colorado Springs,Online,Student,2024-11-04 08:10:14,Young,1
737.34,30.0,34.0,1.0,7336.56,2023-03-20 17:45:22,Debit,Miami,Online,Doctor,2024-11-04 08:08:06,Adult,2
237.86,18.0,210.0,1.0,475.62999999999994,2023-02-06 17:48:39,Debit,Philadelphia,ATM,Student,2024-11-04 08:10:20,Young,2
409.61,65.0,89.0,1.0,11698.15,2023-07-26 16:05:48,Debit,Kansas City,Branch,Doctor,2024-11-04 08:10:16,Senior,1
75.53,21.0,157.0,1.0,1034.35,2023-08-21 17:36:05,Credit,Fresno,Online,Student,2024-11-04 08:07:11,Young,1
72.75,64.0,15.0,1.0,12042.79,2023-05-01 16:30:03,Debit,Phoenix,ATM,Doctor,2024-11-04 08:07:19,Senior,2
39.11,26.0,143.0,1.0,518.54,2023-09-01 18:05:37,Debit,Columbus,Online,Student,2024-11-04 08:08:27,Young,1
729.38,68.0,90.0,1.0,9127.65,2023-11-14 17:23:43,Debit,Los Angeles,ATM,Doctor,2024-11-04 08:08:16,Senior,3
137.49,34.0,50.00000000000001,1.0,4471.05,2023-07-26 16:54:08,Debit,Fort Worth,ATM,Engineer,2024-11-04 08:07:04,Adult,1
504.71,29.0,61.00000000000001,1.0,6214.54,2023-04-10 18:27:51,Debit,Detroit,Online,Engineer,2024-11-04 08:08:37,Young,2
371.47,24.0,58.00000000000001,1.0,1187.04,2023-05-30 16:15:10,Credit,Milwaukee,Branch,Student,2024-11-04 08:07:09,Young,1
430.35,36.0,205.0,1.0,354.9,2023-02-20 17:23:03,Debit,Charlotte,Online,Doctor,2024-11-04 08:10:51,Adult,2
230.32,35.0,56.0,1.0,791.46,2023-05-15 18:15:33,Debit,Las Vegas,Branch,Engineer,2024-11-04 08:08:34,Adult,1
121.71,52.0,140.0,1.0,5878.89,2023-09-05 17:02:23,Debit,Chicago,ATM,Retired,2024-11-04 08:11:23,Senior,1
98.87,20.0,179.0,1.0,533.2,2023-01-03 17:51:07,Debit,Detroit,Online,Student,2024-11-04 08:06:58,Young,2
117.55,24.0,35.0,1.0,897.94,2023-05-19 16:35:07,Debit,Fresno,ATM,Student,2024-11-04 08:11:13,Young,1
244.64,30.0,103.0,1.0,9159.56,2023-02-21 18:41:39,Debit,Tucson,Branch,Doctor,2024-11-04 08:06:53,Adult,2
321.93,45.0,12.0,1.0,4392.73,2023-12-04 18:27:11,Debit,Nashville,ATM,Engineer,2024-11-04 08:07:51,Adult,3
283.23,40.0,98.0,1.0,2008.7700000000002,,Debit,El Paso,Online,Engineer,2024-11-04 08:07:38,Adult,3
346.65,30.0,60.00000000000001,1.0,6356.96,2024-01-01 16:17:13,Debit,Washington,Online,Engineer,2024-11-04 08:06:58,Adult,3
381.62,64.0,164.0,1.0,6009.12,2023-01-27 16:40:28,Debit,Las Vegas,Online,Retired,,Senior,2
388.65,76.0,43.0,1.0,7896.850000000001,2023-02-21 16:02:33,Debit,Oklahoma City,ATM,Retired,2024-11-04 08:08:15,Senior,2
29.22,24.0,151.0,1.0,1649.43,2023-07-06 18:16:05,Debit,San Antonio,ATM,Student,2024-11-04 08:09:03,Young,1
46.75,67.0,150.0,1.0,2840.43,2023-07-31 17:37:31,Debit,Colorado Springs,Branch,Retired,2024-11-04 08:09:20,Senior,1
348.64,57.0,128.0,1.0,3274.96,2023-06-09 17:12:09,Debit,San Jose,Online,Retired,2024-11-04 08:11:22,Senior,1
319.17,73.0,81.0,1.0,6501.56,2023-01-11 16:58:02,Debit,Tucson,Online,Retired,2024-11-04 08:08:49,Senior,2
73.95,26.0,75.99999999999999,1.0,363.92,2023-11-03 16:39:45,Debit,Kansas City,ATM,Student,2024-11-04 08:07:22,Young,3
389.63,27.0,99.0,1.0,9748.48,2023-02-16 16:20:06,Debit,Mesa,Online,Engineer,2024-11-04 08:08:55,Young,2
217.61,19.0,45.0,1.0,1404.53,2023-03-16 17:36:31,Debit,Chicago,ATM,Student,2024-11-04 08:10:08,Young,2
199.84,21.0,150.0,1.0,706.44,2023-01-16 16:01:34,Debit,Dallas,ATM,Student,2024-11-04 08:09:14,Young,2
56.35,44.0,75.0,1.0,5095.73,2023-02-09 16:09:00,Debit,Charlotte,ATM,Doctor,2024-11-04 08:07:36,Adult,2
248.95000000000002,65.0,29.000000000000004,1.0,3059.79,2023-06-16 16:19:35,Credit,San Francisco,Branch,Retired,2024-11-04 08:09:32,Senior,1
142.58,33.0,145.0,1.0,7844.23,2023-06-19 16:20:51,Debit,San Antonio,ATM,Engineer,2024-11-04 08:06:46,Adult,1
333.78,60.0,98.0,1.0,6810.94,2023-11-30 17:53:48,Debit,San Diego,ATM,Retired,2024-11-04 08:07:50,Senior,3
332.59,55.0,143.0,1.0,1457.07,2023-07-13 17:50:13,Debit,San Antonio,Online,Retired,2024-11-04 08:09:05,Senior,1
236.81,22.0,15.0,1.0,813.68,2023-10-26 16:59:55,Debit,Oklahoma City,Branch,Student,2024-11-04 08:07:18,Young,3
417.8,27.0,130.0,1.0,1518.82,2023-06-26 16:21:14,Credit,Philadelphia,Branch,Student,2024-11-04 08:09:17,Young,1
319.27,50.0,150.0,1.0,10269.78,2023-08-07 16:54:58,Debit,San Antonio,ATM,Doctor,2024-11-04 08:12:18,Senior,1
384.1,42.0,172.0,1.0,672.7899999999998,,Debit,Detroit,Branch,Engineer,2024-11-04 08:11:42,Adult,3
820.62,61.0,158.0,1.0,6024.8,2023-03-03 17:18:59,Credit,Fresno,Branch,Doctor,2024-11-04 08:07:28,Senior,2
474.77,56.0,50.00000000000001,1.0,2158.59,2023-12-25 16:28:20,Credit,Indianapolis,Online,Engineer,2024-11-04 08:08:36,Senior,3
542.72,43.0,91.99999999999999,1.0,6011.8,2023-09-04 18:37:57,Credit,Indianapolis,Branch,Doctor,2024-11-04 08:08:53,Adult,1
79.8,73.0,75.99999999999999,1.0,6372.58,2023-12-22 17:17:34,Debit,Fort Worth,ATM,Retired,2024-11-04 08:06:48,Senior,3
46.24,57.0,52.00000000000001,1.0,2569.56,2023-03-13 16:05:46,Debit,San Diego,Branch,Engineer,2024-11-04 08:07:24,Senior,2
327.8,61.0,53.99999999999999,1.0,10585.48,2023-11-23 17:44:29,Debit,San Francisco,ATM,Doctor,2024-11-04 08:09:18,Senior,3
445.79,52.0,161.0,1.0,717.9899999999999,2023-07-07 17:19:39,Debit,Las Vegas,ATM,Doctor,2024-11-04 08:12:05,Senior,1
55.89,72.0,150.0,1.0,3689.65,2023-08-17 16:54:30,Debit,Fresno,Online,Retired,2024-11-04 08:11:33,Senior,1
158.41,28.0,16.0,1.0,1512.16,2023-02-09 16:28:58,Debit,Sacramento,Branch,Student,2024-11-04 08:10:03,Young,2
101.19,64.0,75.0,1.0,14389.45,2023-11-29 18:38:41,Credit,Denver,Online,Doctor,2024-11-04 08:09:44,Senior,3
61.970000000000006,74.0,95.0,1.0,7014.69,2023-05-22 18:45:23,Debit,Phoenix,ATM,Retired,2024-11-04 08:10:47,Senior,1
27.21,79.0,102.0,1.0,3520.61,2023-06-14 16:34:54,Debit,San Jose,ATM,Retired,2024-11-04 08:06:49,Senior,1
173.74,80.0,64.0,1.0,4913.42,2023-09-08 17:48:22,Debit,Houston,Online,Retired,2024-11-04 08:11:52,Senior,1
176.11,38.0,105.0,1.0,9155.35,2023-08-10 16:48:55,Debit,San Jose,Branch,Engineer,2024-11-04 08:10:30,Adult,1
88.4,46.0,174.0,1.0,2567.53,2023-11-10 18:02:07,Debit,Fort Worth,Online,Engineer,2024-11-04 08:09:41,Adult,3
567.92,53.0,14.0,1.0,3779.4699999999993,2023-06-20 16:27:07,Debit,Columbus,Online,Retired,2024-11-04 08:12:12,Senior,1
138.11,68.0,104.0,1.0,4177.65,2023-12-11 17:29:02,Credit,Phoenix,Online,Retired,2024-11-04 08:07:04,Senior,3
456.93,28.0,193.0,1.0,7284.76,2023-09-26 16:18:33,Credit,Virginia Beach,Branch,Engineer,2024-11-04 08:09:29,Young,3
101.42,66.0,146.0,1.0,6530.59,2023-04-25 17:00:15,Debit,Atlanta,Online,Retired,2024-11-04 08:12:22,Senior,2
300.61,44.0,51.00000000000001,1.0,7895.540000000001,2023-05-01 17:21:46,Debit,El Paso,Online,Doctor,2024-11-04 08:11:56,Adult,2
265.94,54.0,132.0,1.0,6781.3,2023-06-05 16:11:07,Debit,Boston,Online,Engineer,2024-11-04 08:06:37,Senior,1
345.54,29.0,50.00000000000001,1.0,2091.78,2023-01-24 16:05:40,Debit,San Diego,Online,Engineer,2024-11-04 08:11:09,Young,2
411.52,41.0,88.0,1.0,11108.39,2023-01-10 17:40:16,Debit,Los Angeles,ATM,Doctor,2024-11-04 08:09:13,Adult,2
111.21,35.0,111.0,1.0,9088.36,2023-08-21 18:36:41,Debit,Portland,Branch,Doctor,2024-11-04 08:12:12,Adult,1
316.37,53.0,86.0,1.0,4671.69,2023-08-28 17:34:17,Debit,Colorado Springs,ATM,Engineer,2024-11-04 08:08:00,Senior,1
260.63,37.0,142.0,1.0,7534.7300000000005,2023-12-20 18:58:27,Debit,Fort Worth,Branch,Engineer,2024-11-04 08:08:49,Adult,3
92.36,29.0,144.0,1.0,6353.14,2023-03-27 16:48:34,Debit,Dallas,ATM,Engineer,2024-11-04 08:07:55,Young,2
262.06,63.0,118.0,1.0,13587.52,2023-09-11 16:09:15,Debit,Oklahoma City,Branch,Doctor,2024-11-04 08:10:23,Senior,1
64.5,74.0,230.0,1.0,1351.24,2023-08-17 18:32:19,Debit,Denver,ATM,Retired,2024-11-04 08:08:31,Senior,1
175.94,57.0,89.0,1.0,3728.0400000000004,2023-06-05 16:16:13,Debit,Indianapolis,ATM,Retired,2024-11-04 08:07:11,Senior,1
199.47,57.0,142.0,1.0,6067.44,2023-08-14 16:26:38,Debit,Detroit,Online,Doctor,2024-11-04 08:07:22,Senior,1
51.07,63.0,133.0,1.0,4292.16,2023-01-23 18:06:58,Debit,Dallas,Branch,Retired,2024-11-04 08:12:12,Senior,2
435.86,56.0,134.0,1.0,3801.8200000000006,2023-12-29 17:17:48,Debit,Jacksonville,ATM,Retired,2024-11-04 08:09:18,Senior,3
74.73,64.0,162.0,1.0,6353.22,2023-01-30 17:17:38,Credit,Jacksonville,Branch,Retired,2024-11-04 08:08:26,Senior,2
182.79,23.0,14.0,1.0,1251.85,2023-10-25 16:21:15,Credit,Louisville,Online,Student,2024-11-04 08:06:54,Young,3
628.36,44.0,107.99999999999999,1.0,11869.71,2023-01-20 16:09:37,Debit,Austin,Online,Doctor,2024-11-04 08:07:32,Adult,2
268.39,29.0,177.0,1.0,9409.43,2023-02-21 18:13:02,Debit,San Antonio,Online,Doctor,2024-11-04 08:11:45,Young,2
